_createdBy,name,include,enrolBy,starting,ending,how,_updatedBy,contact,id
[object Object],Michael Hurle,,,,,,[object Object],,DHhcRfFQYppv5uKZBxlx
[object Object],Alan Hammond,,,,,,[object Object],,Kca3QIlhkDrr33xYNSss
[object Object],Cyndi Miller,,,,,,[object Object],,Q7mtP7VdTfDtMqzsOO8J
[object Object],Hellen Swales,,,,,,[object Object],,SAdyg7hmTVNsvpMnmZrc
[object Object],Michael Anderson,,,,,,[object Object],,V1c6OnwXuWGiZtto9diC
[object Object],Christopher Carson,,,,,,[object Object],,dQ4jsMuZddpOonqeItsh
[object Object],Blair Griffiths,,,,,,[object Object],,nTzB73kfjjpE9uXDlWRp
[object Object],Wellington Region Special Voting Hub,,,,,,[object Object],,hduFEhWautcpV7ptkSz3
[object Object],Rosamond Connelly,,,,,,[object Object],,MJ5iw46kn2C5RypE5ESA
[object Object],Steve Taylor,,,,,,[object Object],,rHuSICnqP2bGrtQvMRHh
[object Object],Porirua,true,,,,STV,[object Object],,zzzzzzzzzzzzzzzzzzzx
[object Object],Tapu Elia,,,,,,[object Object],,BsB75B9ZlChU5TCNMn38
[object Object],Nicole Foss,,,,,,[object Object],,WwBSisXUYP33gt7yr7K1
[object Object],Parirua Māori Ward,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzw
[object Object],Pāuatahanui General Ward,true,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzx
[object Object],Nicole Foss,,,,,,[object Object],,X62ARtC5487dWq6nWFWo
[object Object],Andrea Nicol-Coulston,,,,,,[object Object],,X62ARtC5487dWq6nWFWp
[object Object],Joshua Trlin,,,,,,[object Object],,raggaRC2YpXYs2Bfegj7
[object Object],Onepoto General Ward,true,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzy
[object Object],Michael Duncan,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzy
[object Object],Cannons Creek Library,,,,,,[object Object],,6ok5e59KGPgcsY9eYOuo
[object Object],New World Porirua,,,,,,[object Object],,DCQqZRkqRALEXa53k6sg
[object Object],Tītahi Bay Library,,,,,,[object Object],,Og6XSxZIYLJPtIM3SUwP
[object Object],Countdown Porirua,,,,,,[object Object],,Wce9iORdjPUFaEGkQ3FN
[object Object],Pak'nSave Porirua,,,,,,[object Object],,ZjjL6mb7LNl0Q3yaZ4zR
[object Object],Wellington Region Special Voting Hub,,,,,,[object Object],,aEWdONgyFEz1PRHuN0nW
[object Object],Countdown Aotea,,,,,,[object Object],,h6Pj9rAG0xEZUTaAwdgE
[object Object],Porirua City Library,,,,,,[object Object],,jhiA8bkCSHP6f1wdDZQ0
